e (Vokal über Konsonant); عَلامَت ِ کَسرَه
- Monogramm eindrucken; حُروف ِ مُشَخَصه را باسِمه کَردَن
eindrücken;
- die Scheibe eindrücken; شیشه را شِکَستَن
eindrücklich (-sein);  .مُؤَثِر بودَن، نافِذ ب.، گیرا ب
eindrucksvoll; نافِذ، مُؤَثِر، هِیبَت اَنگیز، پُر سَطوَت، گیرا
- eindrucksvolle Veranstaltung; جَلَسهٔ دِل نِشین
- solch eine eindrucksvolle Person ..; چِنین شَخصیَت ِ پُر قُدرَت و جَذابى، ـ با وَقار
einebnen;
- etwas unebenes einebnen; .چالهارا تَخت کَردَن، ـ هَم سَطح ک
Einebnung; تَسطیح
eineiig; یِک تُخمه
eineinhalb; یِک و نیم
- eineinhalb Stunden; یِک ساعَت و نیم
einengen; کِسى را مَحدود کَردَن، ـ تَحت ِ فِشار قََرار دادَن
Einengung;
- Einengung, Knechtung; تَنگنا، تَضییقات
- Einengung des Marktes; تَضییق ِ اِقتِصادى
einer;
- einer nach dem anderen; یِکایِک، یِکبِیِک
- einer hinter dem anderen; پُشت ِ سَر هَم
- einer der unsrigen; یِکى از میان ماها، او از بار و بَچه هاى ِ خودِمان است
- einer unter ihnen; یِکى از این جُمله
- einer aus der Menge von ..; یِکى از میان ِ توده
- einer der beiden Partner; اَحَد ِ شَریکِین
- einer ist wie der andere; اینهَم مِثل ِ آن یِکى است
- Einer für alle, alle für einen; فَرد بَراى ِ اِجتِماع و اِجتِماع بَراى ِ فَرد
- Was ist das für einer?; او چه جور ِ آدَمى است؟
- Einer (mathemat.); (plur.)  (اَحَد (اَحاد)، یِک (یِگان
einerlei;
- für dich ist alles einerlei; بَراى ِ تو دیگه دوغ و دوشاب یکیست
- das tägliche Einerlei; یِکنَواخت ِ روزانه
einerseits;
- einerseits & andererseits; از یک جانِب و از جانِب ِ دیگَر
einfach; ساده، بَسیط
- ganz einfach; سَهل و ساده، به این مُفتى
- einfach so; مُطلَق ِ هَمین
- schlicht & einfach; صاف و ساده
- einfacher Dienst; خِدمَت ِ دَستیارى ِ پائین
- einfacher Brief; نامهٔ عادى
- einfacher Satz; جُملهٔ بَسیط
- das ist einfach so; خُلاصهٔ مَطلَب، یک کَلام، سَر ِ راست
- den Stoff einfach zusammenlegen; پارچه را یک لا تا کَردَن
- aber er hat es einfach nicht genehmigt; وَلى نَداد که نَداد
- der Film hat eine denkbar einfache Handlung; فیلم داستانى ِ پیش ِ پا اُفتاده دارَد
- warum kompliziert, wenn's auch einfach geht; گِرِهی که با دَست باز شَوَد نَبايَد به دَندان گِرِفت
Einfachheit; سُهولَت، بَساطَت، سادِگى
Einfahrt; وُرود، راه ِ وُرودى
- Einfahrt & Ausfahrt; وُرود و خُروج
Einfall;
- Einfall, Idee; اَندیشه
- Einfall, Überfall; تُرکتازی، حَمله
- der Einfall in ein Land; تَجاوُز به کِشوَرى
einfallen;
- jem. einfallen; به خاطِر ِ کِسى خُطور کَردَن، به فِکر ِ کِسی -، به یاد ِ کِسى آمَدَن
- lassen Sie s. was einfallen; فِکرى به حالِتان بِکُنید
- in ein Land einfallen;  .دَر کِشوَر تاخت و تاز کَردَن، بَر کِشوَر دَست اَندازى ک.، ـ تَهاجُم ک
- was fällt dir ein?; چه خیالَت مى رِسَد؟
- mir fällt ein, dass ..; به خاطِرَم میایَد که، یادَم مى آیَد که، ویرَم گِرِفت
- die Wand fällt ein; دیوار فُرو مى ریزَد
- ... das keinem einfällt; به فِکر ِ کُسی خُطور نِمی کُنَد
- nach 20 Jahren fällt dir wieder ein, dass du .. bist; تو بَعد از ۲۰ سال به صَرافَت اُفتادى که .. هَستى
- seine Augen sind tief eingefallen; چِشمانَش گود رَفته بود
- eingefallene Wangen; گونه هاى ِ فُرو رَفته، ـ گود اُفتاده
einfallslos; بى فِکر
einfallsreich; با شُعور، نُکته دان
Einfallstor;
- das Einfallstor für jem. sein; ... ِ دَر ِ وُرودى بودَن بَراى
Einfallswinkel; زاویهٔ تابِش
Einfalt; حَماقَت، سادِگى، کَم فَهمى، ساده لوحى
einfältig; تاریک اَندیش، ساده لوح
Einfaltspinsel; خُل
einfassen; مَحصور کَردَن، اِحاطه ک.، حاشیه گُذاشتَن
- Diamant einfassen; آلماس را گُذاشتَن، ـ نِشاندَن، ـ سَوار کَردَن
- den Weg mit Steinen einfassen; راه را سَنگچین کَردَن
Einfassung;
- Einfassung, Naht; تو دوزى
- Einfassung, Gemäuer; هِره، مُحاصِره، حِصار
- Einfassung beim Ring; نِگین دان
- Wegeinfassung; سَنگچین راه
einfetten;  .چیزى را پیه مالى کَردَن، چَرب ک
einfinden (s. -); جَمع شُدَن، حُضور یافتَن
einflechten;
- Band einflechten; نَواررا بافتَن
- Worte einflechten in; دَر .. کَلَمه را دَرج کَردَن
einflössen;
- Furcht einflössen; رَم دادَن، تَرسانیدَن
- Gefühle einflössen; اِحساسات را اِلقاء کَردَن
- jem. Nahrung einflössen;  .به کِسى غَذا دادَن، غَذارا به خورد ِ کِسى د
- jem. Zuversicht  bezüglich ... einflössen; به کِسى اِعتِماد ِ... را رُسوخ دادَن
- eingeflösst (in den Mund gelegt); مُلقی، اِلقاء شُده
Einfluss; نُفوذ، تأثیر
- äusserer Einfluss; اَثَر ِ بیرونى
- unter dem Einfluss von; ... ِ بَر اَثَر
- Leute mit Einfluss; آنها صَد کَله را کُلاه و صَد کوررا عَصا هَستَند
- auf jem. Einfluss ausüben; به کِسى نُفوذ کَردَن
- sie nehmen auf die Anschuldigung gegenüber x keinen Einfluss; آنها به شِکایَت ِ فِلان تَرتیب ِ اَثَر نِمى دَهَند
Einflussbereich; مَنطَقهٔ نُفوذ، قَلَم رو
Einflusshabender; مُتَنَفِذ
einflussreich;
- er ist ein einflussreicher Mensch geworden; لولهِنگِش آب گرفته، آدَم ِ مُتَنَفِذ شُده
- alle einflussreichen Leute; تَمام ِ اَفراد از کَله گُنده ها
einflüstern;
- einflüstern, propagieren; بیخ ِ گوشى کَردَن
einfordern;  .مُطالِبه کَردَن، طَلَب ک
- einfordernd sein; پُررو بودَن، گویی هَمه چیز حَق ِ او ست
einförmig; یِکنَواخت
Einfriedung; پَچَر، حِصار، نَرده
einfrieren;
- einfrieren (Nahrung); دَر فرایزِر گُذاشتَن، یَخ اََنداختَن، ـ زَدَن
- das Essen ist eingefroren; غَذا یَخ زَده است
- das Schiff ist eingefroren im Eis; کِشتى دَر یَخ بَندان گیر کَرده است
- eingefrorener Kredit; اِعتِبار ِ بى مَحَل
- Einfrieren (Beziehungen, u.ä.); تَجَمُد، سُکوت
- Einfrieren der nuklearen Rüstung; مُتَوَقِف کَردَن تَسلیحات ِ هَسته اى
einfügen; اِضافه کَردَن، ضَمیمه ک.، جا دادَن
- einen Ausdruck einfügen; واژه را وارِد کَردَن
- Steine einfügen; سَنگهارا چَپاندَن، ـ گُذاشتَن
- s. in etwas einfügen; خودرا جا کَردَن
- s. in eine Gesellschaft einfügen; هَمرَنگ ِ دیگران شُدَن، خودرا خوب تَطبیق کَردَن
Einfügung; اِندِراج، دَرج، اِضافه، اِنضِمام
Einfühlungsvermögen; قُوهٔ دَرک ِ اِحساسات
Einfuhr; وارِدات
- Einfuhr & Ausfuhr; وارِدات و صادِرات
einführen;
- jem. in eine Sache einführen; کِسى را دَر چیزى وارِد ساختَن
- jem. in sein Amt einführen; کِسى را بَراى ِ مَقامى مُعَرِفى کَردَن
- etwas als neuen Brauch einführen;  .چیزى را رَسم کَردَن، ـ مَعَمول ک
- neue Mode einführen; لِباس ِ جَدید را باب کَردَن
- Wörter einführen; لُغات راوَضع کَردَن
- einführende Worte; سُخَنان ِ مُقَدَماتى
Einfuhrkontigent; سَهیمهٔ وارِدات
Einfuhrzoll; گُمرُک ِ وارِدات، ـ وُرودى
Einführung; اِدخال، وُرود
- Einführung, Präambel; پیش نِویسى
- Einführung der Kanüle; ... اِدخال ِ لوله دَر
- Einführung neuer Sitten; وُرود ِ رُسوم ِ تازه، رُسوم تازه را مَعَمول کَردَن
- zur Einführung von Herrn X bei ..; ... ِ بَراى ِ وُرود ِ آقاى ِ فِلان نَزد
- Einführung des Wahlrechtes; اِحراز ِ حَق ِ اِنتِخابات
Eingabe; دَرخواست، عَریضه، عَرضحال، شِکایَت نامه
- eine Eingabe an ... machen; عَریضه اى را به ... مُعَرِفى داشتَن
Eingang; دَر ِ وُرودى، وُرود
- Bahnhofseingang; مَدخَل ِ ایستگاه
eingänglich;
- die Melodie ist eingänglich; آهَنگ ِ گوش نَواز است، آهَنگ ِ رَسا
Eingangsbereich; مَدخَل
Eingangsdatum; تاریخ ِ وُصول
Eingangshalle; سَرسَرا، دِهلیز
Eingangsstelle; مَدخَل
Eingebung; اِلهام ِ اِلهى، وَهم
- auf eine Eingebung warten; اُستِخاره کَردَن
eingedenk;
- eingedenk der Tatsache, dass ...; ... ِ با عِلم 
eingeengt; مُنقَبِض
eingefleischt;
- eingefleischte Gewohnheit; عادَت ِ دامَنگیر
- eingefleischter Beamter; کارمَند ِ حِرفه اى، - سَخت گیر
eingehen;
- Vertrag eingehen; قَرار داد بَستَن
- der Betrag geht ein; وَجه وُصول مى شَوَد
- die Wäsche geht ein; آب رَفتَن، تَنگ و کوتاه شُدَن
- die Pflanzen gehen ein; گیاها خُشک مى شَوَند
- er geht darauf ein; او به چیزى تَن دَر مى دَهَد
- er ging nicht auf das Spiel ein; او بَراى ِ نَتیجه بازى آسمان و ریسمان نَبافت
- eingehender Bericht; نامهٔ مَشروحى
- der eingegangene Betrag; وَجه حاصِله
- eingegangene Manuskripte werden nicht zurückgesandt; مَقاله هاى ِ رِِسیده مُستَرِد نِمى شَوَند
eingehend;
- .. wurde eingehendst untersucht; مورِد ِ مُداقه واقِع شُده است
- eingehendst s. mit .. beschäftigen; دَر این مورِد غوررِسى کَردَن
eingekerbt; کُنگره دار، دالبُر
Eingeladener; (pl.) مَدعُو (مَدعُوین)، دَعوَت شُده
Eingemachtes;
- Eingemachtes (sauer); تُرشى
- Eingemachtes (süss); مُرَبا، ریچار، کُمپوت
Eingemeindung; اِدغام، اِلحاق
eingenommen;
- er ist für mich eingenommen; مَن به او خِیلى جالِب شُدَم، مُحَبَتَش نِسبَت به مَن بیش از پیش شُده است
- er ist von s. eingenommen; او خودِش را سَخت پَسَندیده است، او خود پَسَند است
eingesäumt (Stoff); لَب بَرگَردان
eingeschätzt; قِیمَت گُذارى شُده
eingeschlossen;
- eingeschlossen, gefangen; مُنحَصِر، مَحبوس، مَحصور
- im Zimmer eingeschlossen; دَر اُطاق مَحبوس شُده
- Trinkgeld ist im Preis eingeschlossen; قِیمَت ِ اِنعام را هَم بَر دارَد، دَر قِیمَت سِرویس مَنظور شُده است
Eingeschlossener; مَحصور شُده
eingeschnappt;
- Sei nicht eingeschnappt; تُرش نَکُن
eingeschrieben;
- eingeschriebenes Mitglied; عُضو ِ ثَبت ِ نام کَرده
eingeschüchtert; هَراسان
- eingeschüchtert werden; مَظلوم شُدَن
- eingeschüchtertes Männchen; آدَم ِ مَرعوب
eingesperrt;
- eingesperrt sein; مَحبوس بودَن
- eingesperrt werden;  .مَسجون شُدَن، مَحبوس ش
Eingeständnis;
- ich litt unter dem Eingeständnis, dass; رَنج ِ مَن دَر اِعتِراف به اینکه ... است، زیاد بود
eingestehen; اِقرار کَردَن، اِعتِراف ک.، مُقِر شُدَن
- eingestehen, dass; بر چیزى صَحه گُذاشتَن که
eingestuft;
- er wird als Kranker eingestuft; او یِک بیمارى تَلَقى مى شَوَد
eingetragen;
- Eingetragenes Warenkennzeichen; عَلامَت ِ تِجارَتى، ـ ثَبت شُده
eingeweicht;
- eingeweichter Reis; برِنج ِ خیس خورده
Eingeweide; شِکَنبه، اَحشاء
eingliedern; اِلحاق کَردَن
- ihn in die Gesellschaft eingliedern; اورا به اِجتِماع اِنضِمام کَردَن
Eingliederung; اِنضِمام، اِلحاق، اَندَرونه
eingravieren;  .چیزى را حَک کَردَن، ـ قَلَم زَنى ک
eingreifen;  .مُداخِله کَردَن، اِقدام ک
- in diese Angelegenheit eingreifen; دَر این حَوادِث مُخادِله کَردَن
- das Zahnrad greift ein; دَندانه چَرخ گیر مى کُنَد
- Eingreifen; دِخالت، دَستکارى
- durch das Eingreifen vor ... bewahrt bleiben; با پا دَرمیانى از ... جان ِ سالِم بِدَر بُردَن
Eingreifstruppe; نیروى ِ مُداخله
- schnelle Eingreifstruppe; نیروهاى ِ واکُنِش ِ سَریع
Eingriff;
- Eingriff (aus negativer Absicht); دسَت بُرد، دَستکاری
- operativer Eingriff; عَمَل ِ جَراحى
- Eingriff in ..; مُداخِله
eingruppieren; طَبَقه بَندى کَردَن
einhacken;
- auf ihn einhacken;  .به او مِنقار زَدَن، ـ نیش ز
- auf ... einhacken; روی ِ ... جُفتَک جُفتَک زَدَن
einhaken; قَزَن قُفلى زَدَن
- s. einhaken; بازو دادَن، بازو دَر بازو
- (Abschlepp-) Seil am Auto einhaken; سیم را به ماشین قُلاب کَردَن
Einhalt;
- jem. Einhalt gebieten;  .از کِسى جِلو گیرى کَردَن، کِسى را مُتَوَقِف ک.، ـ مَنع ک.، ـ مُمانَعَت ک
einhalten;
- einhalten, aufhören; چیزی را موقوف کَردَن
- einhalten, beachten;  .رَعایَت کَردَن، مُراعات ک
- den geraden Weg einhalten; راه ِ راست را پیش گِرِفتَن
- halte den Weg ein; راه را رَعایَت کُن، سَر ِ راه باش
- den Mittelweg einhalten; میانه رَوى قائِل بودَن
- Versprechen einhalten; بِقول ِ خود وَفاه کَردَن، سَر ِ قول ِ خود ایستادَن
- Regeln einhalten;  .قَواعدرا تَمَسُک کَردَن، ـ رَعایَت ک
- die Geschäftsordnung einhalten; مُقَرَرات ِ داخلى را مُراعات کَردَن
- vereinbarten Preis einhalten; از قِیمَت ِ مُقَرَر تَجاوُز نَکَردَن
- Frist einhalten; مُهلَت را نِگَه داشتَن
Einhaltung;
- Einhaltung von Disziplin; رَعایَت ِ اِنضِباط
einhandeln (Waren); با چانه زَنى خَریدارى کَردَن
einhängen;
- die Fenster einhängen; پَنجَره هارا دَر لولا گُذاشتَن
einheimisch; مُتَوَطِن، بومى
- einheimische Tracht; لِباس ِ مَحَلى
- einheimischer Ausdruck; عِبارَت ِ دَیار
Einheimischer; مُتَوَطِن، اَهل ِ آب و خاک، بومى
