Saal (m); سالُن
Scheinheiligkeit; شيله پيله، رياکارى
Scheinkabinett; کابينة پوشالى
Scheinkampf; جَنگ ِ بارى
Scheintheorie; نَظَرية کَذائى
scheintot; به ظاهِر مُرده
Scheinwerfer; نور اَفکَن
Scheitel;
- Scheitel, Scheitelpunkt; رأس
- Haarscheitel; فَرق  ِ سَر
- eine Scheitel ziehen; فَرق باز کَردَن
- ich ziehe dir gleich einen Scheitel; خِشتَک را بِکِشَم سَرِت
scheitern;  .مُوَفَق نَشُدَن، شِکَست خوردَن، لَطمه خوردَن، پُشت ِ پا خ
- gescheiterte Existenzen; آس و پاسها
Scheitern (n); شِکَست، عَدَم ِ توفيق، عَدَم ِ مُوَفَقيَت
- zum Scheitern verurteilt; مَحکوم به شِکَست بودَن
Scheiterhaufen; تودة هيزُم، اَنبار ِ ـ
Schelf;
- Festlandschelf; پاية خُشکى دَر دَريا، قارة کَم عُمق دَر اُقيانوس
Schelle;
- Schelle, Klingel; زَنگ
- Schelle (z.B. Schlauch-); قِيد و بَست
schellen; زَنگ زَدَن
Schelte; مَلامَت، تَشَر، نَهيب، سَرزَنِش
schelten; نَهيب کَردَن، سَرزَنِش ک.، تَشَر زَدَن
Schema; نِمودار، طَرح، اُلگو، مُدِل
schematisch; تَرسيمى، طَرحى
Schemel; پاى اَنداز، چَهار پايه
Schenke; مِي خانه، لُقانطه
Schenkel;
- Schenkel (bei Winkel); (pl.)  (ضِلع ِ زاويه (اَضلاع ِ
- Oberschenkel; ران
- Unterschenkel; ساق
- schenkelhohe Stiefel; چَکمة ساقه بُلَند
schenken; هِديه دادَن، بَخشيدَن
- jem. etwas schenken; چيزى را به کِسى هِديه کَردَن، ـ هِديه دادَن، ـ آوَردَن
- von ganzem Herzen schenken; آب از جِگَر بَخشيدَن، عَطا کَردَن و چيزي بِمَردُم دادَن
- einem geschenkten Gaul schaut man nicht ins Maul; دَندان ِ اَسب پيشکِش را نِمي شُمارَند
scheppern; تُلُق تُلُق، تُلُق و تُلوق
- wegen der Schlaglöcher scheppert das ganze Auto; بِخاطِر ِ دَست اَندازها تَمام ِ ماشين سَخت تُلُق تُلُق می کَرد
Scherbe; خورده شيشه
Schere; قِيچى
scheren; قِيچى کَردَن
- scheren (Schafschur); پَشم چينى کَردَن
Schererei;
- Scherereien verursachen; جَنگولَک بازى دَر آوَردَن، پِدَر ِ کِسي را دَر آوُردَن
- s. aus Scherereien rausziehen; خود را از مَخمَصه بيرون کِشيدَن
Scherz; شوخى
- schlechter Scherz; هَزل گوئى
- s. mit jem. einen Scherz erlauben; سَر به سَر ِ کِسي گُذاشتَن
- ich dachte, er leistet s. einen Scherz mit mir; خيال مي کَردَم سَر به سَرَم مي گُذارَد
- Scherz & Witz; طَنز و مُطايِبه
scherzen; شوخى کَردَن
- (negativ) scherzen; هَزل گوئى کَردَن
- er scherzt mit jem.; سَر بِسَر ِ کِسى مى گُذارَد، با کِسى شوخى مى کُنَد
Scherzo; رِنگ
scheu; سَربِزير، کَمرو، کِناره گير
- scheu (Tier); رَمو
- scheu blicken; با چِشمهاى ِ رَمَنده نِگاه کَردَن
- arbeitsscheu; نِفرَت از کار
Scheu; حُجب
scheuen;
- scheuen (Pferd); رَم کَردَن
- er scheut s. vor keiner Arbeit; او از هيچ کارى روگَردان نِمى شَوَد، ـ هيچ کاري نمى تَرسَد
- gebrannter Mensch scheut das Feuer; آدَم ِ مار گَزيده از ريسمان ِ سياه و سِفيد مى تَرسَد
scheuern; سابيدَن
- Topf mit Sand scheuern; ديگ را شِن مالى کَردَن
- jem. eine scheuern; يِکي تو سَر کِسي زَدَن
Scheune; اَنبار ِغله، کاهدان
Scheusal; هِيولا
Schicht;
- Schicht (gesellschaftl.); طَبَقه
- Schicht (geolog.); لايه
- Schicht (Früh-, Spät-);  (شيفت ( ـ ِ صُبح، ـ ِ شَب
- in 2 Schichten arbeiten; دو شيفته کار کَردَن
- einer herrschenden (polit.) Schicht von .. angehören; به نيابَت از ... مُتَعلِق بودَن
- ärmere Schichten; اَقشار ِ فَقير
- wohlhabende Schicht; قِشر ِ مُرَفَه
- Berufsschicht; قِشر ِ شُغلى
Schichtaufnahme (vom Knochen); تِکه بَردارى (از اُستُخوان
schichtenspezifisch;
- schichtenspezifisches Verhalten; رَفتار ِ طَبَقاتى
Schichtung;
- berufliche Schichtung; قِشربَندى ِ شُغلى
Schichtwechsel; تَعويض ِ شيفت
schicken;
- jem. auf den Weg schicken; کِسى را رَوانه کَردَن، ـ راهسِپَر کَردَن
- jem. in die .. schicken, - jagen; کِسى را به ... واصِل کَردَن
- jem. etwas schicken; چيزی را حَوالة کِسی کَردَن
- nach jem. schicken; دُنبال ِ کِسی فِرِستادَن
- er schickte ihn an die Arbeit; او را به سَر کارِش فِرِستاد
- er hatte das Recht, ihn nach Hause zu schicken (als Strafe); او حَق داشت گورَش را گَم کُنَد
- schick, wen du willst; بِفِرِستى بِدَست ِ هَر که مى فِرِستى
- jem. hin - und herschicken (z.B. bei der Behörde); کِسی را پاس دادَن
Schicksal; مُقَدَرات، تَقدير، سَرنِوِشت
- vom Schicksal betrogener Mensch; آدَم ِ مَفلوک
- s. in sein Schicksal ergeben; خودرا تَسليم ِ سَرنِوِشت کَردَن، خودرا به دَست ِ سَرنِوِشت سِپُردَن
Schicksalsgemeinschaft; هَم دوشى
schicksalshaft; سَرنِوِشت ساز
Schicksalsschläge; صَدَمات ِ مُقَرَرات
Schiebebühne; صَحنة اِنتِقالى
Schiebedach; سَقف ِ کِشوئى
schieben; هُل دادَن
- etwas zur Seite schieben; چيزى را کِنار زَدَن
- auf die lange Bank schieben; دَر طاق ِ نِسيان گُذاشتَن، به دَست ِ فَراموشى سِپُردَن
- alles, was passiert ist, schiebst du Gott in die Schuhe; هَر اِتِفاقى که اَُفتاده به حِساب ِ خُدا مى گُذارى، ـ به گَردَن ِ خُدا ـ
Schieber; مُحتَکِر، دَريچه
- Schieber, Betrüger; قاچاقچي
Schiebetür; دَر ِ کِشوئى
Schiebewiderstand; مُقاوَمَت ِ لَغزِشى
Schieblehre; خَط کِش ِ اَندازه گير کِشوئى
Schiedsgericht; کُميسيون ِ داوَرى
- verbindliche Schiedsgerichtsbarkeit; داورَى ِ اِلزام آوَر
Schiedsrichter; داوَر
Schiedsrichterspruch; رأى ِ داوَر
Schiedsspruch; حَکَميَت
schief; مُوَرَب، کَج، مايِل، شيبدار، اَعوَج
- schiefe Ebene; تَوَرُب، سَطح ِ شيب دار
Schieferdach; بام ِ تَخته سَنگ پوش
Schiefergestein; پَلمة سَنگ، سَنگ ِ لوح، تَخته سَنگ
schiefgehen;
- der Unterricht geht schief; آموختَن رَه به جائى نِمى بَرَد
- alles, was nur schiefgehen konnte, sagte man ihm; هَرچه بَد و بيراهه بود به او گُفتَند
- die Dinge fangen an, schief zu gehen; اوضاع بَر وَفق ِ مُراد نيست
Schieflage;
- Schieflage bekommen; پَکَر شُدَن، حالَت ِ گيجى پِيدا کَردَن
schielen; لوچ بودَن، پيچ داشتَن
- er schielte auf ...; چِشمِش به ... است
- ... brachte ihn zum Schielen; چِشمهايَش را لوچ کرد، ـ چَپ کرد
Schienbein; اُستُخوان ِ ساق
Schiene; رِيل
- Armschiene; تَختة شِکَسته بَندى
schienen;
- jemandes Arm schienen; بازوى ِ فِلان را شِکَسته بَندى کَردَن
Schienenlegen; رِيل گُزارى
Schienenstrang; رِيل
schiessen;
- auf jem. schiessen;  .به کِسى شَليک کَردَن، ـ تير اَندازى ک
- schiess! (beim Fussball); شوت کُن
- daneben schiessen; نِشانه نَزَدَن، تير يه سَنگ مي خورَد
Schiessbude; چادُر ِ نِشانه گيرى
Schiesserei; تيراَندازى
Schiessplatz; مِيدان ِ تير اَندازى
Schiff; کِشتى، جَهاز
- 5 Schiffe; پَنج فَروَند ِ کِشتى
- Segelschiff; کِشتى ِ بادى، جَهاز ِ ـ
Schifffahrt; کِشتيرانى
Schiffbruch; کِشتى شِکَستِگى
- Schiffbruch erleiden (alleg.); شِکَست خوردَن
Schiffbrüchiger; کِشتى شِکَسته، شِکَستة کِشتى
Schiffsbauer; کِشتى ساز
Schiffsbug; سينة کِشتى
Schiffschaukel; چَرخ  و فَلَک
Schiffsladung; بار ِ کِشتى
Schiffsschraube; پَروانة کِشتى
Schiismus; تَشَيُع
Schiit; اَهل ِ تَشيُع، شيعه
Schikane; اِشکالتَراشى، شِکَنجه
schikanieren; کِسى را زَجر کَردَن، شِکَنجه ک.، ـ آزار رِساندَن، آش بَراى ِ کِسى پُختَن
- schikaniert werden; زَجر کِشيدَن
Schild;
- Verkehrsschild, Tafel; تابلو
- Schutzschild; سِپَر
Schilddrüse; غُدة تيروئيد
schildern; نَقش کَردَن، تَشريح ک.، توصيف ک.، شَرح دادَن
Schildkröte; لاک پُشت
- wie eine Schildkröte; لاک پُشت وَر
Schilf; نِى
Schilfdickicht; نِيزار
Schilfrohr; قَصَب
schillern; به رَنگهاى ِ قوس و قَزَح دِرَخشيدَن، سوسو زَدَن
Schimmel;
- Schimmel, Pilz; کَپَک، کَپرَک
- Schimmel, Moder; پَرمَک
- Schimmel (Pferd); کُرة اَسب، اَسب ِ سِفيد
schimmeln;  .کَپَک زَدَن، کَپرَک ز
Schimmer; نور ِ ضَعيف، کور سو
- ich habe keinen Schimmer; مَن از اين چيزها اِطِلاعات نَدارَم، مَن اصلاً شِناختي نَدارَم
Schimpanse; شِمپانزه
Schimpf;
- mit Schimpf und Schande; با خِفَت و خوارى
schimpfen;
- auf jem. schimpfen; سَر ِ کِسى قِر زَدَن، ـ جِر زَدَن
Schimpfwort; دُشنام، کَلَمات ِ ناهَنجار، فُحش
- kräftige Schimpfworte; فُحش ِ آبدارى
- jem. mit Schimpfworten belegen; کِسى را مورِد ِ عِتاب و خِطاب قَرار دادَن
Schindel; توفال، تَخته پوش شُده
- mit Schindel bedecken; توفال کوبى کَردَن
schinden; کِسى را زَجر کَردَن، شِکَنجه ک.، ـ آزار رِساندَن، آش بَراى ِ کِسى پُختَن
Schinder; جَفا کار
Schinderei; سَگ دوى، سُتوه، زَحمَت، خَرکاری
Schinken; ژامبون، شاربُن
Schippe; بيل
- er ist dem Tod von der Schippe gesprungen; خَرِش از پُل گُذَشت
schippen; بيل زَدَن
- Schnee schippen; بَرف پارو کَردَن
Schirm; چَتر
Schirmherrschaft; تَوَجُهات، حِمايَت
- unter der Schirmherrschaft; دَر ظِل ِ تَوَجُهات، تَحت ِ حِمايَت
Schirmspitze; نوک ِ چَتر
Schizophrenie; تَفرِقۀ شُعور، ـ هُويَت، بيمارى ِ رَوانى ِ چَند شَخصيَتى
Schlacht; مُقاتِله، نَبَرد، غَزوه، مُعَرکه
Schlachtbank;
- jem. zur Schlachtbank führen; کِسى را به جَلاد تَسليم کَردَن
schlachten;  .سَلاخى کَردَن، ذِبح ک
- jem. wird geschlachtet; کِسى سَلاخى ميشَوَد
Schlachter; سَلاخ
Schlachtfeld; مِيدان ِ جَنگ، عَرصة ـ
- auf dem Schlachtfeld erscheinen; قَدَم به عَرصة جَنگ گُذاشتَن
Schlachthof; مَسلَخ
Schlachtopfer; (pl.) ذَبيحه (ذبايِح)، قُربان
Schlachtreihe; صَف آرائي
- Schlachtreihe aufstellen; بَراي ِ جَنگ صَف آرائي کَردَن
Schlacke; سَرباره، جِرم
schlackern (vor Kälte); بيدبيد لَرزيدَن
Schlaf; غُنَو، خُفت، خواب، نَوم
- Schlaf übermannte ihn;  .چُرتِش گِرِفت، خوابِش گ
- jem. aus dem Schlaf reißen; از خواب پَراندَن، چُرت ِ کِسی را پاره کَردَن
- jem. am Schlaf hindern; خواب ِ کِسی را گِرِفتَن
- Dauerschlaf; خواب ِ مَدام
- aus dem Halbschlaf erwachen; چُرتَش پاره شُد
- Mittagsschlaf; خواب ِ قيلوله
- Winterschlaf; سَهر ِ سُباتى
Schläfe; شَقيقه، گيج گاه
schlafen; خوابيدَن، خُسبيدَن
- ich lege mich schlafen; به خواب مى رَوَم، به بَستَر ـ
- leg dich schlafen; راحَت بِگير و بِخواب، بُرو بِخواب
- ich schlafe ein; خوابَم مى بَرَد
- ich schlafe nicht; خوابَم نِمى بَرَد، چِشمَم به هَم نِمى رِسَد
- lasst mich endlich schlafen; بِگُذاريد کَپه مَرگ را بِگُذارَم
- schlaf gut!; بِراى ِ کِسى آرِزوى ِ خواب ِ خوش کَردَن، شَب بِخِير، شَبِت ـ
- s. schlafend stellen; تَناوُم کَردَن
schlaff; نَرم و لول، سُست، شُل، شُل و وِل، بى حال و وَررَفته
- das Hemd hängt schlaff an ihm herab; پيراهَن به تَنِش زار مى زَنَد
Schlaffheit; رِخوَت، سُستى
Schlaffi; اَمرَد، شوشو
Schlaflied; لالايی
- Schlaflied singen; لالايی خواندَن
Schlaflosigkeit; بيخوابى
- an Schlaflosigkeit leiden; بي خوابي کِشيدَن
Schlafmütze; اَلدَنگ، چُرتی
schläfrig; خواب آلود
- ich wurde schläfrig; خَسته ام بود
Schlafsack; کيسة خواب
Schlafstörung; بَدخواب
- unter Schlafstörung leiden; بَدخواب شُدَن، بيدار خوابي کِشيدَن
Schlafsucht; سُبات
Schlaftablette; قُرص ِ خواب آوَر
Schlafwandeln; (noumi) ماه زَدِگى، اِنتِقال ِ نومى
Schlafwandler; خوابگَرد
Schlag;
- jem. einen Schlag versetzen; کِسى را سُقُلُمه زَدَن، ضَربه به .. زَدَن، لَطمه زَدَن، لَت کَردَن، توى ِ سَر ِ کِسى زَدَن، از پا دَر آوَردَن
- Schlag versetzt bekommen; لَطمه خوردَن، هول خوردَن
- Leute vom gleichen Schlag; هَمطَراز ِ اَشخاص
- Zwei Fliegen mit einem Schlag; با يِک تير دو نِشان زَدَن
- ein schwerer Schlag ereilte sie; بَد اِقبالي سَر رِسيد
- Schläge einstecken;  .لَت خوردَن، ضَربه خ
- Nackenschlag; قَفا، پَس گَردَنی
- Stockschläge; ضَربه هاى ِ چوب
- jem. Stockschläge auf die Hand geben;  (کَف ِ دَست ِ کِسى را تَرکه زَدَن، پُشت دَستِی زَدَن (با چوب
- Stockschläge (bes. auf Füße); چب و فَلَک
Schlagader; سُرخرَگ، شَريان، شاهرَگ
Schlaganfall; سِکته
schlagartig;
- schlagartig wurde ihr bewusst; به لَمعِة بَرقى مُتَوَجه شُد، چِشمِش به هَم نَزَد که
schlagen;  .زَدَن، ضَربه زَدَن، کُتَک ز
- s. an den Kopf schlagen (mit der Hand); بامب زَدَن
- um s. schlagen (vor Schmerz); بال بال زَدَن، از دَرد يا بى قَرارى به پيچ و تاب اُفتادَن
