Vabanquespiel; ماجِرا
- verzagte Stimmen; آوازهاى ِ حَزین
verzahnen; دَندانه دار کَردَن
Verzahnung; وابَستِگى ِ مُتَقابِل
Verzehr; مَصرَف، صَرف
- verzehrendes Feuer; آتَش ِ سوزنده
- er verzehrt s. vor Lust; دِلِش بَراى ِ .. غُنج مى زَنَد
verzeichnen;
- 100 % Erfolg verzeichnen; صَد دَر صَد مُوَفَقيَت را به ثَبت رِساندَن
Verzeichnis; فِهرِست
verzeihen; بَخشیدَن، آمُرزیدَن
- Sie verzeihen in Ihrer großen Güte (Floskel); شُما به بُزُرگواری ِ خودِتان بِبَخشید
verzeihlich; قابِل ِ گُذَشت، ـ اِغماض
Verzeihung; بَخشِش، عُذرخواهی
verzerren; از شِکل اَنداختَن
- s. verzerren; خود را خَمیدَن
- vor Schmerzen verzerren; از دَرد تیر کِشیدَن
Verzerrung; عِوَج
Verzicht; (auf)  (چِشم پوشى، اِنصِراف، صَرف ِ نَظَر (از
- Erbverzicht; چِشم پوشى از میراث
verzichten;  .صَرف ِ نَظَر کَردَن، اِبا ک
- verzichte auf mich; دورَم را قَلَم بِگیر
Verzichtsklausel; مادهٔ چِشم پوشى، ـ اِعراض
verziehen;
- verziehen, entschuldigt; مَعَذور
- s. verziehen, krümmen; خَم شُدَن
- das Kind verziehen; بَچه را بَد تَربيَت کَردَن
- die Miene verziehen; قیافه گِرِفتَن
- verzogenes Kind; بچهٔ نُنُر، ـ ناز پَروَر
verzieren; تَزئین کَردَن، زینَت دادَن
- verzierter Gürtel; کَمَربَند ِ طَراز، ـ مُنَقَش
- mit Edelstein verzierter Kopf der Wasserpfeife; سَر ِ قَلیان ِ مُرَصَح
Verzierung; کَنده کارى، آرايِش، پیرانه، زینَت
Verzinkerei; کارگاه ِ آبکارى
verzinsen;  .تَنزیل دادَن، بَهره د
- verzinsliches Darlehen; قَرض ِ فَرعى، ـ با نُزول
Verzinsung; تَنزیل، بَهرهٔ بانکى
verzogen;
- falls verzogen, bitte an Absender zurück; دَر صورَت ِ نَقل ِ مَکان لُطفاً به آدرِس فِرِستَنده پَس بِفِرِستید
verzögern;  .به تَعویق اَنداختَن، مُعَطَل کَردَن، مُماطِله ک.، دِرَنگ ک
- eine Entscheidung verzögern; تَصمیم را تَعویق اَنداختَن
- die Sache verzögert s.; این چیز به تَعویق مى اُفتَد
Verzögerung; تَعویق، مُعَطَلى، مماطِله، تَسویف، دِرَنگ، تأنى
- Verzögerung haben; مُعَطَلى داشتَن
- Verzögerung in der Arbeit; تَعَلُل دَر کار
Verzögerungsrelais; رِلهٔ تأخیرى
Verzögerungstaktik; تاکتیک ِ مُماطِله
verzollen; عَوارِض ِ گُمرِکی پَرداختَن
- haben Sie etwas zu verzollen?; چیزى که مَشمول ِ گُمرُک شَوَد دارید؟
Verzug; تأخیر
- er ist mit der Arbeit in Verzug; کارِش به تأخیر مى اُفتَد
verzweifeln;
- am Leben verzweifeln; اُمید به زِندِگى از دَست دادَن، از زِندِگى مأیوس شُدَن
verzweifelt; پَریشان، پَریشان حال، مأیوس
- verzweifelt sein; جان به لَب رِسید، خاک به زیر بودَن
- verzweifelter Mensch; آدَم ِ مُستَأصِل
Verzweiflung; اِسطیصال، یأس، نااُمیدی
- s. in Verzweiflung stürzen; جان به سَر شُدَن
verzweigen; اِنشِعاب کَردَن
- s. verzweigen; مُنشَعِب شُدَن
verzweigt; مُنشَعِب
- verzweigte Fäden; رِشته هاى ِ اِنشِعابى
Verzweigung; (pl.) اِنشِعاب (اِنشِعابات)، تَفَرُع
Verzweigungspunkt; نُقطهٔ اِنشِعاب، گِره
verzwickt;
- ihre Reaktion in dieser verzwickten Sache ...; واکُنِش ِ او به این توداری ... بود
Vesper; عَصرانه، لُقمه
- Platz zum Vespern; چاشت گاه
Vestibül; ایوان، هَشتى
Veto; اِعتِراض، وِتو، رأى ِ مُخالِف
Vetter; عَمو زاده، پِسَر عَمو، پِسَر دائى
Vetternwirtschaft; رَفیق پَرَستى، پارتى بازى، حُکومَت ِ اَقرَباء
Viadukt; پُل ِ دَره اى
Vibration; اِهتِزاز، اِرتِعاش
Vibrationsdämpfung; میرائى ِ ویبراسیونى، خَفِگى ِ ـ
vibrieren; مُرتَعِش کَردَن، لَرزیدَن
Video; ویدِئو
Videofilm; فیلم ِ ویدِئوئى
Videokassette; کاسِت ِ ویدِئو
Vieh; (pl.)  (حِیوان، ماشیه (مَواش)، بَهیمه (بَهائِم
Viehhändler; نَخاس
Viehseuche; آفات ِ حِیوانى
Viehtrieb; راه ِ گَله رو
Viehzucht; دامپَروَرى
viel; خِیلى، بِسیار، مُتَعَدِد، زیاد، کَثیر
- sehr viele; مور شُمار
- es waren sehr viele; تِعدادِشان زیاد بود، عِدهٔ زیاد بودَند
- der Arbeiter ist viel zu beschäftigt. als dass ...; کارگَر پُر مَشغَله تَر از این است که
- wir haben uns viel zu erzählen; کُلى ِ حَرف بَراى ِ گُفتَن داریم
vieladrig; چَند رِشته اى
vielblättrig; مِثل گُلبَرگهاى ِ گُل ِ سُرخ پَر پَر شُدَن
vieldeutig; تأویل بَردار
vielfach; مُتَعَدِد، چَندلا، چَندین بار
- das Verständnis ist um ein Vielfaches leichter; دَرک ِ آن بمَراتِب آسانتَر است
Vielfalt; تَنَوُع، خِیل
vielfältig; مُتَنَوِع
vielfarbig; کَثیر اُلالوان
Vielfrass; پُر خور، شِکَمو
Vielgötterei; کَثیر اُلبُتها
Vielkant; چَندلَبه
vielleicht; لابُد، شايَد، اِحتِمالاً
- ich habe das vielleicht schon mal gehört; اینرا شِنیده باشَم
- im "Vielleicht" steckengeblieben; دَر بوتهٔ اِجمال ماندَن
vielsagend; پُر از کِنایه
vielstimmig; کَثیرالاصَوات
vier; چَهار
- auf allen Vieren kriechen; روى ِ کَف ِ اُطاق چَهار دَست و پا راه رَفتَن
Viereck; جزیرهٔ چهار ضِلعى، چارزاویه
viereckig; چارزاویه، چَهارگونه
Vierradantrieb; مُحَرَکهٔ چَهار چَرخ
vierschrötig; چارشانه
Viertaktmotor; موتور ِ چَهار زَمانه
Viertel;
- ein Viertel nach ..; يِک رُبع بَعد از
- Stadtviertel; مَحَله، بَخش
- Studentenviertel; کوی ِ دانِشجوئی
- das ganze (Stadt-) Viertel schaute zu; دَر و هَمسایه تَماشا کَرد
viertens; رابِعاً، چَهارُم
vierzehn; چَهاردَه
vierzig; چِهِل
- der vierzigste Tag (nach Trauerfeier); اَربَعيِن
Vietnam; ویتنام
Villa; ویلا
Violett; بَنَفش
Violinbogen; آرشه
Violine; ویلُن
V.I.P.; سَرِشان به تَنِشان می ارزَد
Viper; اَفعى
virtuell; مَجازی، غِر ِ واقِعی
- virtuelles Bild; تَصویر ِ مَجازى
Virtuose; اُستاد
Virtuosenstück; چَهار مَغراب
Virus; ویروس
Visier;
- Visier, Gesichtsmaske; نَقاب
- Visier (beim Gewehr); نِشانه گیر
- etwas ins Visier nehmen; چیزى را نِشانه گِرِفتَن
Visierkreuz; تَقاطُع ِ سیمها
Vision; مَنظور رؤیا، رؤیا، اِلهام، وَحى
- mitreissende Vision der Brüderlichkeit; رویائى ِ چِنان اِلهام اَنگیز دَربارهٔ بَرادَرى
Visitationsrecht; حَق ِ بازرِسى، ـ مُعايِنه
Visite; عَیادَت، مُعايِنه
Viskosität; اِصطِحکاک ِ داخِلى ِ مايِعات، دَرَجهٔ غَلظَت
visualisieren; مُتَصَوِر کَردَن
Visum; رَوادید، ویزا
- Visumsantrag; دَرخواست ِ رَوادید
vital; پُر اِنِرژی
- voller Vitalität sein; زِنده دِل بودَن
Vitamin; ویتامین
Vitrine; قَفَسه، ویترین
Vitriol; زاج
- Kupfervitriol; زاج ِ کَبود
Vizekanzler; مُعاوِن ِ صَدر ِ اَعظَم
Vizekönig; نايِب اُلسَلطَنه
Vizemeisterschaft; نايِب ِ قَهرَمانى
Vogel; پَرَنده
- Vögel vertreiben; کیش کَردَن
- Zugvogel; پَرَندهٔ مُهاجِر
Vogelfutter; چینه، خوراک ِ طُیور
Vogelscheuche; داهُل، مَتَرسَک، ـ خَرمَند، تَرسانَک
Vokabel; لُغَت
Vokabelheft; لُغَتنامه
Vokal; (pl.) حَرف (حُروف) ِ مُصَوَته، ـ صِدادار
- "a" - Vokal; عَلامَت ِ فَتحَه
- "e" - Vokal; عَلامَت ِ کَسرَه
- "o" - Vokal; عَلامَت ِ ضَمَه
Vokalharmonie; هَماهَنگی ِ اَصوات
Vokalzeichen; عَلامَت ِ حَرف ِ صِدا دار
Volk; (pl.)  (قوم (اَقوام)، مِلَت (مِلِل
- Volk, Leute; عامهٔ مَردُم، خَلق
- einfaches Volk; عَوام
- zivilisierte Völker; مِلِل ِ مُتَمَدِنه
Völkerbund; مَجمَع ِ اِتِفاق ِ مِلِل
völkerrechtlich; مُبتَنى بَر حُقوق ِ بِین اُلمِلَل
Volksbegehren; دَرخواست ِ هَمه پُرسى
Volkseigentum; دارائى ِ خَلق
Volksentscheid; رأى ِ عُمومى
Volksfrömmigkeit; تَقواى ِ عام
Volksmusik; موسیقى ِ مَحَلى
Volkssouveränität; حاکِميَت ِ مِلى
Volkssport; وَرزِش ِ هَمِگانى
volkstümlich; مَردُم پَسَند
Volkstümelei; پَرَستِش ِ مَحَل
Volkswirt; اِقتِصاددان
Volkswirtschaft; اِقتِصاد ِ مِلى، ـ کَلان
Volkszählung; سَرشُمارى ِ مِلى
voll; پُر
- restlos voll; مالامال
- ein Koffer voll mit ..; يِک جَمِدان مَملُو از
- meine volle Konzentration; حَواس ِ خود را شِش دانگ ِ مَعطوف ِ این موضوع کَردَم
- der Wunsch war voll da; آرِزو دَر کَمال ِ قُوَت بود
- das muss doch nicht bis zum Rand voll sein!; این قَدر تو لَب نَباش
- mit vollem, ganzen Verstand; با عَقل ِ تام، ـ تَمام
- mit vollen Backen kauen; خوراک را لُپ لُپ خوردن
- nach einem vollen Jahr; بَعد از يِک سال تَمام
- voller Zorn; سَرشار از خَشم
- voll Trauer; با قَلبى ِ آکَنده از غَم و اَندوه
- mit vollster Zufriedenheit; از سَر ِ رِضايَت
- der Bus war proppevoll; اتوبوس پُر پُر بود
Vollbeschäftigung; اِشتِغال ِ کامِل
vollbesetzt;
- in einem vollbesetzten Haus; دَر يِک خانهٔ شُلوغ
vollbringen; اَنجام دادَن، به وُجود آوَردَن
vollendet; خَتم شُده، مَختوم
- .. ist vollendet; چیزى بِسَر آمَده
- vollendete Tatsache; اَمر ِ واقِع، عَمَل ِ اَنجام یافته
- jem. vor vollendete Tatsachen stellen; دَر بَرابَر ِ اَمر ِ واقِع قَرار دادَن
Völlerei; شِکَمبارِگى
Volleyball; وُلیبال
vollführen; به سَر اَنجام رِساندَن
Vollgas; با حَد ِ اَکثَر ِ سُرعَت
- mehr Vollgas geben; بَر سُرعَت اَفروختَن
vollgestopft; تو گِرِفته
Vollglatze; کَچَل
- der Mann da, mit der Vollglatze; آن آقا تا بَنا گوش ِ کَچَل
Vollgummireifen; لاستیک ِ يِک تِکه
völlig; (be-l-kol) سَر تا پا، بالکل
volljährig; بُزُرگسال، به سِن ِ قانونى رِسیده
Volljährigkeit; سِن ِ بُلوغ
vollkommen; کامِل
- auf vollkommendste Weise; به وَجه ِ اِکمَل
- das ist vollkommener Unsinn; این اَصلاً مُزَخرَفه است
Vollkommenheit; کَمال
Vollkornmehl; آرد ِ سَبوس
Vollmacht; اِقتِدار
- (Prozess-) Vollmacht; توکیل
- schriftliche Vollmacht; وِکالَتنامه
- jem. Sondervollmacht erteilen; به کِسى اِختیارات ِ ویژه دادَن
vollmächtig; پُر قُدرَت، مُقتَدِر
- vollmächtiger Mensch; شَخص ِ مُقتَدِر
Vollmachtsschreiben; وِکالَتنامه، اِختیارنامه
Vollmond; بَدر، ماه ِ تَمام
- bei Vollmond; دَر بَدر
vollschlagen;
- was haben wir uns den Bauch vollgeschlagen; چه شِکَمى از غَذا دَر آوَردیم
vollständig; کامِلاً
- jem. ist von vollständiger Anmut; کِسى از حُسن ِ تَمام است
vollstopfen;
- wir stopften uns den Bauch voll; طَبلهٔ شِکَم را اَنباشتیم
vollstrecken;  .ایفاء کَردَن، اِجرا ک.، تَنفیض ک
- wird durch den Scharfrichter vollstreckt; به دَست ِ جَلاد اَنجام خواهَد گِرِفت، ـ به اَنجام خواهَد رِسید
Vollversammlung; اِجلاس ِ عُمومى، مَجمَع ِ ـ
vollziehen;  .ایفاء کَردَن، اِجرا ک.، تَنفیض ک
Volontär; کارآموز
Volontariat; دورهٔ کارآموزى
- während des Volontariates; دَر هَنگام ِ دورهٔ کارآموزى
Volt; وُلت
Volumen; حَجم
- Erzeugervolumen; حَجم ِ تولید
voluminös; حَجیم
von; از
- Millionen von Menschen; میلیونها نَفَر
- er stammt von ..; او از نَسل ِ .. است
- er kommt von Tehran; او از تِهران مى آيَد
- ein Brief von 5 Seiten; نامه اى دَر ۵ صَفحه
- von da an; از آن ِ بَس
- von Beginn des Christentums an; از صَدر ِ مَسیحيَت، از بَدو ِ ـ، از شُروع ِ ـ
voneinander; از هَمدیگَر، از يِکدیگَر
vor;
- vor Christus; قِبل از میلاد
- vor dir ging ...; پیش ِ پاى ِ تو ... رَفت
- vor den Augen der Menschen ging er raus; از پیش ِ چِشمان ِ مَردُم خارِج شُد
- sie haben vor .. keine Achtung; بَراى ِ .. اِحتِرامى قائِل نیستَند
- vor den erstaunten Augen aller; دَر بَرابر ِ چِشمان ِ بُهت زَدهٔ هَمه
- die sich vor uns ..; که رویا روى ِ ما
- jem. vor .. bringen; کِسى را به حُضور ِ فِلان آوَردَن
- vor Gott sein Herz ausschütten; با خُدا راز و نیاز کَردَن
- was geht hier vor?; اینجا چه خَبَره؟
- vor lauter Arbeit; از فَرط ِ کار
- kurz vor Tehran; کَمی مانده به تِهران
vorab; از پیش
- vorab benötigte Note; نُمرهٔ دَرسهاى ِ پیش نیاز
Vorahnung; هاتِف
- ich hatte eine Vorahnung (das was nicht stimmt); اِحساس ِ شُبهه کَردَم
vorankommen; پیش رَفتَن، پیشرَفت کَردَن
- wie weit ist die Arbeit vorangekommen?; کار به چه مِنوال است؟، کار به کُجا رِسید؟
- er kommt gut voran; کارِش را بِخوبى پیش مى بَرَد
- kommst du gut voran?; کارِت بِخوبى پیش مى رَوَد؟
Voranmeldung; پیش نام نِویسی
Voranschlag;
- Kostenvoranschlag; تَخمین ِ مَخارج، بَرآوَرد
vorantreiben;
- eine Sache vorantreiben; کارى را پیش بُردَن
Vorarbeit;
- Vorarbeit (i.S.: Vorbereitung); کارناصاف، آمادِگى
Vorarbeiter; پیش کار، سَر کارگَر
voraus; از پیش
- im voraus bezahlen; از پیش پَرداختَن
- jem. voraus sein; از کِسى سَبَق بُردَن، ـ بَرتَر بودَن
- was Gott im voraus sagte; آنچه که خُدا مُقَدَر فَرمود، ـ از پیش گُفت
- jem. voraus gehen; پیشاپیش ِ کِسى رَفتَن
- im voraus benötigte Note; نُمرهٔ دَرسهاى ِ پیش نیاز
Vorausbezahlung; تَنخواه
vorausgehen;
- vorausgehende Menschen; اِنسانهاى ِ پیشتاز
- ein Streit ging voraus; قَبل از ... دَعوا بود
voraushaben;
- jem. etwas voraushaben; دَست بالا بودَن، نِسبَت به کِسی بیشتَر داشتَن
voraussagen; پیش گوئى کَردَن
Vorausschau; پیش بینى
voraussetzen; طَلَبیدَن، فَرض کَردَن
- wir setzen voraus, dass ...; فَرض کُنیم که
- das setzt voraus, ...; این ... مى طَلَبد
- vorausgesetzt (mathemat.); مَفروض
- vorausgesetzt, dass ...; مَشروط بَر اینکه
Voraussetzung; فَرض، شَرط
- unter dieser Voraussetzung; با این فَرض، به شَرط ِ اینکه
- Voraussetzung & Schlussfolgerung; مُقَدَم و تالى
vorauszahlen; پیش پَرداخت کَردَن
- vorauszahlen der Miete; پیشکِرایه کَردَن
Vorauszahlung; پیش پَرداخت
Vorbau; ایوان، هَشتى
vorbauen; اِقدامات ِ اِحتیاطی کَردَن
Vorbedingung; پیش شَرط
Vorbehalt; شَرط، ایراد
- unter dem Vorbehalt, dass ...; به این شَرط که، به قِید ِ این شَرط که
- Eigentumsvorbehalt; تَحَفُظ ِ مِلک ِ فُروخته شُده تا پَرداخت ِ بَهاى ِ آن
vorbehaltlich;  ِ به شَرط
vorbehaltlos; بِدون ِ قِید و شَرط، بیدَریغ
Vorbehaltsurteil; حُکم ِ مَشروط
vorbei;
- vorbei ist vorbei; گُذَشته ها گُذَشته است، کار از کار گُذَشته
- der Frühling ist vorbei; بَهار سِپَرى شُده است
- es ist 3 Uhr vorbei; ساعَت از ۳ گُذَشته است
vorbeifahren; رَد شُدَن، گُذَشتَن
- an Tehran vorbeifahren; از تِهران رَد شُدَن
- vorbeifahrende Autos; ماشینهاى ِ رَهگُذَر
vorbeikommen;
- jem., an dem man nicht vorbeikommt; مَرد ِ بى گُذَشتى
- hin und wieder bei .. vorbeikommen; گاهى سَرى به .. زَدَن
- jeder, der vorbeikam; هَر عابِر
vorbeilassen;
- können Sie mich bitte vorbeilassen?; اِجازه بِدَهید رَد بِشَوَم؟
vorbeilaufen;
- das Vorbeilaufen von Leuten; گُذار ِ مَردُم
vorbeileben;
- am Leben vorbeileben; مَفلوک شُدَن
vorbeischauen;
- kurz bei dir vorbeischauen; يِک تَک پا مى آيَم به مَنزِلَت، يِک سَرى مى زَنَم به اِت
vorbeiziehen;
- an jem. vorbeiziehen (*: überholen); از کِسى پیش دَستى کَردَن
Vorbeiziehender; رَهگُذَر
Vorbemerkung;
- eine kurze Vorbemerkung; يِک مُقَدَمهٔ کوتاه
vorbereiten;  .تَدارُک دیدَن، آمادِگى کَردَن، تَهیه ک. مُهَیا ک
- s. vorbereiten (für bestimmte Aufgabe);  .خودرا مُستَعِد کَردَن، ـ آماده ک
- ich brauche 2 Tage, um alles vorzubereiten; دو روز بايَد مَشغول ِ تَرتیب دادَن ِ کارها باشَم
- vorbereitende Funktion bei .. haben; تَمهید دَر چیزى داشتَن
Vorbereitung; تَدارُک، آمادِگى
- ... stecken in den Vorbereitungen; دَر دَست ِ تَهیه است
Vorbereitungsstadium; مَرحَلهٔ آمادِگى
Vorbesprechung; جَلَسهٔ مُقَدَماتى
vorbestellen; از قَبل سِفارِش دادَن، رِزِرو کَردَن
vorbestraft; داراى ِ سوء پیشینه
vorbeugen;
- vorbeugende Massnahmen; اِقدامات ِ پیش گیرَنده
Vorbeugungsmassnahme; پیش گیرى، جِلوگیرى
Vorbild; خَط ِ مَشق، سَرمَشق، نِمونه
Vorbote;
- das sind Vorboten; آنها پیش دَر آمَدَند
vorbringen;
- Anklagen vorbringen; اِتِهامات را وارِد کَردَن
- die Sache von jem. vorbringen; موضوع ِ کِسى را پیش کِشیدَن
Vordach; سایه بان
- unter dem Vordach eines Ladens; زیر ِ طاقنَماى ِ يِک مَغازه
Vorderachsantrieb; مُحَرَکهٔ اَکسِل ِ جِلو
Vorderbank; نیمکَت ِ جِلوئى
Vordergrund;
- im Vordergrund sehen Sie ...; جِلوى ِ شُما ... را مى بینید
vordergründig; ظاهِر بین، سَطحى
Vorderlader; تُفَنگ ِ سَرپُر
Vordermann; آدَم ِ جِلویی
- jem. auf Vordermann bringen; کِسی را حِسابی رو به راه کَردَن
- die Wohnung auf Vordermann bringen; مَسکَن را سَر و سامان دادَن
Vorderrad; چَرخ ِ جِلو
Vorderradaufhängung; تَعلیق ِ چَرخ ِ جِلو
Vordersitz; صَندَلى ِ جِلوئى
vordringen;
- bis zur Stadt vordringen; تا شَهر پیشرَوى کَردَن
- die Idee, die nach ... vordringt; عَقیده اى که به ... سَرايَت مى کُنَد، عَقیده اى که نُفوذ مى کُنَد
vordringlich;
- das ist vordringlich; خِیلى ضَرورى است
voreilig; تُندرأى
- voreiliges Versprechen; قول ِ عاجِل، ـ بِدون ِ تأمُل
voreingenommen; روگیر، سوگیر، جانِبدار
Voreingenommenheit; جانِبدارى، پیش داوَرى
vorenthalten;
- jem. etwas vorenthalten; چیزى را از کِسى دَریغ داشتَن، ـ مَحروم کَردَن، ـ مُضايِقه ک.، از دادَن چیزی به کِسی خودداری کَردَن
- jem. den Lohn vorenthalten; نان ِ کِسی را آجُر کَردَن
- jem. nichts vorenthalten; چیزى را از کِسى مُضايِقه نَکَردَن
- Freiheit den Menschen vorenthalten; آزادى ِ اَفرادرا دَریغ داشتَن، ـ کَردَن
vorerst; (fi-l-hāl) فى الحال
- vorerst nicht; فِعلاً که نَه
vorfabriziert; پیش ساخته
Vorfahren; آبا و اَجداد، سَلَف، اَسَلاف، پیشینیان
Vorfahrt; حَق ِ تَقَدُم
Vorfall; حادِثه، اِتِفاق
- es gab weniger Vorfälle (Unfälle) als bei ...; کَمتَر از ... سانِحه هَوائی داشت
vorfallen; واقِع شُدَن، وُقوع یافتَن، اِتِفاق اُفتادَن
vorfühlen; اِستِمزاج کَردَن
vorführen;
- einen Film vorführen; فیلم را نَمايِش دادَن، ـ نِشان د.، ـ به مَعَرَض ِ نَمايِش قَرار دادَن
Vorführung; نَمايِش
- der Film kommt zur Vorführung; فیلم به نَمايِش دَر مى آيَد، ـ به مَعرَض ِ نَمايِش مى گُذارَد
Vorgabe; از قَبل تَعَیین شُده
Vorgang; پَروَنده، سابِقه، مَرحَله، پروسه، فَرايَند، رَوَند
- Wahlvorgang; فَرايَند ِ اِنتِخابات
Vorgänger; (pl.)  (پیشین (پیشینیان)، سَلَف (اَسلاف
vorgaukeln;
- jem. etwas vorgaukeln; شُعبَده بازى کَردَن، سَر ِ کَِسى کُلاه گُذاشتَن، دوز و کَلَک سَوار کَردَن
vorgeben; مُقَرَر کَردَن
- er gibt vor, ... zu sein; او وانِمود می کُنَد که ... می باشَد
- vorgegeben, nicht diskutierbar; مَحتوم
vorgefertigt; پیش ساخته
vorgehen;
- exakt vorgehen; دِقَت بِجا آوَردَن، دِقَت گِرِفتَن
- gerichtlich gegen jem. vorgehen; به حُکم ِ مَحکَمه دَر کار ِ کِسى مُداخِله کَردَن
- die Uhr geht vor; ساعَت جِلو مى رَوَد
- dass, was da vor s. geht, ist wie ...; آنچه دَر چیزى روى مى دَهَد مِثل ِ
Vorgehen (n); اِقدام، پیشقَدَمى
vorgeschichtlich; مَربوط به ماقَبل ِ تاریخ
Vorgesetzter; مافوق، رَئیس
- Dienstvorgesetzter; مافوق ِ اِدارى
vorgestern; پَریروز
- vorgestern Abend; پَریشَب
vorhaben; دَر صَدَد بودَن، قَصد داشتَن
- alle, die vorhaben, zu kommen und ...; هَمه که خیال دارَند بیايَند و
- was hast du vor?; چه بَرنامه دارى؟ چه کار دارى؟
- er hat vor, ihn umzubringen; او در صَدَد ِ کُشتَنَش است، او قَصد دارَد اورا بِکُشَد
- Forschungsvorhaben; طَرح ِ تَحقیقاتى
Vorhalle; پیشخانه، دالان، سَرسَرا
Vorhalter; پُشت گیر، دَستَک
vorhanden; موجود
- die vorhandene Hitze; گَرماى ِ حاصِله
- kein Interesse vorhanden; هیچ عَلاقه پِیدا نِمی شَوَد
Vorhandensein; موجود، نَقد
Vorhang; سِتار، پَرده
- Vorhang aufziehen; پَرده را کِنار زَدَن
- Vorhang zuziehen; پَرده را کِشیدَن
- der Vorhang fällt; (auch allegor.) پَرده می اُفتَد
Vorhaut; غُلفه
vorheizen; داغ کَردَن ِ قَبل، از قَبل گَرم کَردَن
vorher; مُدَتى پیش، قَبل
vorherbestimmt (relig.); مُقَدِر
- was Gott vorherbestimmend sagte; آنچه که خُدا مُقَدَر فَرمود
Vorherbestimmung; تَقدیر
vorhergegangenes; پیشین، مُتَقدِم، سابِق، قَبل
Vorherrschaft; اِستیلا، بَرتَرى جوئى، تَسَلُط
- um die Vorherrschaft des ... zu brechen; تا جِلو ِ سُلطهٔ فِلان را بگیرَند
vorherrschen; مُستولى، مُسَلَط بودَن، تَسَلُط یافتن
- die vorherrschende Theorie; تئورى ِ مُسَلَط
- zwei vorherrschende Lehrmeinungen; دو مَکتَب ِ عُمدهٔ رايِج
Vorherwissen; پیش دانى
Vorhof (vom Herz); دِهلیز (ـ  ِ قَلب
Vorhut; طَلایه، طَلیعه
vorig; پیشین
- vorige Woche; هَفتهٔ قَبل
Vorjahr; پارسال
Vorkämpfer; پیشتاز
Vorkasse; تَنخواه
Vorkauf;  (پیش خَرید (کَردَن
Vorkehrung; اِقدام
- notwendige Vorkehrungen treffen; تَمهیدات ِ لازِم را اَنجام دادَن، اِقدامات ِ ـ
vorkommen; رُخ دادَن، اِتِفاق اُفتادَن، پیش آمَدَن
- sollte es vorkommen, dass ..; اَگَر اِحیاناً ِ.. شَوَد
- es kommt oft vor, dass ...; بَسا مى شَوَد که
- wie oft kommt es vor, dass ..; چه بَسا
- bei ihm kommt manchmal ein Fehler vor; گاهى از او خَطائى سَر مى زَنَد
- das kommt in der besten Familie vor; این هَم دامَنگیر ِ خانِوادهٔ نَجیب هَم مى شَوَد
- mir kommt es vor, als wäre es gestern gewesen, dass ..; اِنگَرى هَمین دیروز بود که
- der Mensch kommt mir bekannt vor; این اِنسان به نَظَرَم آشِنا مى آيَد
- sein Reden kommt ihnen komisch vor; حَرفَش به نَظَر ِ آنها مَسخَره مى آيَد
- Trennung kommt vor; تَفرِقه می اُفتَد
Vorkommnis; (pl.)  (اِتِفاق، حادِثه (حَوادِث
vorladen; کِسى را اِحضار کَردَن
- als Zeuge vorladen; گُواه آوَردَن، بِعُنوان شاهِد فَرا خواندَن، - اِحضار کَردَن
Vorladung (zum Gericht); اِحضار نامه، وَرَقهٔ اِحضاریه
Vorlage (für Gesetz, u.ä.); لايِحه، طَرح، اِرائه
- Druckvorlage; نُسخهٔ اَصلى، طَرح ِ ـ
Vorläufer; طَلایه دار، مُنادى، نِشان ِ پیشین، پیشقَدَم، پیشگام
vorläufig;
- vorläufiger Entwurf; پیش نِویس ِ عَلىَ اُلعَجاله، طَرح ِ فِعلى
- vorläufige Festnahme; بازداشت ِ مُوَقَت
vorlaut; جَسورانه
vorlegen;
- dem Plenum vorlegen;  .به جَلَسهٔ عُمومى اِرائه کَردَن، ـ تَقدیم ک
- etwas einer hohen Persönlichkeit vorlegen; چیزى را دَر جَریان ِ آمال ِ شَخصیتى ِ والا نِهادَن
- die Frage, die wir ihnen vorlegen; پُرسِشهارا که ما دَر بَرابَرِشان مى نَهائیم
Vorleger; پارى
Vorlegescheibe; واشِر
vorlesen; قَرائَت کَردَن، خواندَن
Vorleser; قارى
Vorlesung; دَرس ِ دانِشگاهى
vorletzter; ماقَبل آخَر
- vielleicht liegt eine ... vor; شايَد ... دیده باشَد
- im vorliegenden Modell; دَر مُدل ِ اِرائه شُده
- vorliegende Anklagepunkte; اِتِهامات ِ اِقامه شُده
vormachen;
- jem. etwas vormachen; به کِسى کَلَک زَدَن
- kannst du mir das vormachen?; می تَوانی این را به مَن نِشان بِدَهی؟
Vormachtstellung; موضِع ِ قُدرَت ِ بَرتَر
vormerken; رِزِرو کَردَن
- Vormerkliste für Wohnungen; لیست ِ مُتَقاضیان ِ حائِز ِ شَرايِط ِ سُکونَت
Vormittag; قَبل از ظُهر
Vormund; قَيُم، وَصى، لَله، وَلى
Vormundschaft; قِیمومَت، وِصايَت
Vormundschaftsgericht; مُحَکَمهٔ قِیمومَت، ـ وِصايَت
vornehm; نِِجابَت ِ خانِوادِگی، نَجیب
vornehmen;
- er will s. etwas vornehmen; او مى خواهَد چیزى را به اَنجام بِرِسَد، چیزى را دَر نَظَر دارَد
- s. eine Entscheidung vornehmen; دَر مورِد ِ چیزى تَصمیم گِرِفتَن
- vorgenommen; دَر نَظَر گِرِفته شُده، مَطروح
vornherein; از قَبل
