Saal (m); سالُن
Scheidungsprozess; مُحاکِمهٔ طَلاق
Schein;
- Schein, Glanz; تابِش
- den Schein wahren; تَظاهُر کَردَن
Scheinangriff; حَملهٔ کاذِبه، حَملهٔ ظاهِرى، حَملهٔ مَغلَطه
scheinbar; اِحتِمالاً
- zum scheinbaren Allgemeinwohl; بِلِطافَط اُلحيل
scheinen; دِرَخشیدَن، تابیدَن
- Gruben, in die kein Licht scheint; مَغاکى که نورى بَر آنها نِمى تابَد
- es scheint so, als ob; مِثل ِ این است که، که اِنگار ِ، به نَظَر مى رِسَد که
- mir schien so, als ...; اَنگاشتَم که
- schien mir wichtig, dass ...; به نَظَرَم لازِم و بِجا آمَد که
- mir scheint es, als wäre es gestern gewesen, dass ...; اِنگارى هَمین دیروز بود که
- mehr scheinen als sein; پُز ِ عالی جیب ِ خالی
Scheingefechte; جَنگ ِ مَغلوطى
scheinheilig; پارسا نَما، مُقَدَس نَما
Scheinheiligkeit; شیله پیله، ریاکارى
Scheinkabinett; کابینهٔ پوشالى
Scheinkampf; جَنگ ِ بارى
Scheintheorie; نَظَریهٔ کَذائى
scheintot; به ظاهِر مُرده
Scheinwerfer; نور اَفکَن
Scheitel;
- Scheitel, Scheitelpunkt; رأس
- Haarscheitel; فَرق  ِ سَر
- eine Scheitel ziehen; فَرق باز کَردَن
- ich ziehe dir gleich einen Scheitel; خِشتَک را بِکِشَم سَرِت
scheitern;  .مُوَفَق نَشُدَن، شِکَست خوردَن، لَطمه خ.، پُشت ِ پا خ
- gescheiterte Existenzen; آس و پاسها
Scheitern (n); شِکَست، عَدَم ِ توفیق، عَدَم ِ مُوَفَقيَت
- zum Scheitern verurteilt; مَحکوم به شِکَست بودَن
Scheiterhaufen; تودهٔ هیزُم، اَنبار ِ هیزُم
Schelf;
- Festlandschelf; پایهٔ خُشکى دَر دَریا، قارهٔ کَم عُمق دَر اُقیانوس
Schelle;
- Schelle, Klingel; زَنگ
- Schelle (z.B. Schlauch-); قِید و بَست
schellen; زَنگ زَدَن
Schelte; مَلامَت، تَشَر، نَهیب، سَرزَنِش
schelten; نَهیب کَردَن، سَرزَنِش ک.، تَشَر زَدَن
Schema; نِمودار، طَرح، اُلگو، مُدِل
schematisch; تَرسیمى، طَرحى
Schemel; پاى اَنداز، چَهار پایه
Schenke; مِی خانه، لُقانطه
Schenkel;
- Schenkel (bei Winkel); (pl.)  (ضِلع ِ زاویه (اَضلاع
- Oberschenkel; ران
- Unterschenkel; ساق
- schenkelhohe Stiefel; چَکمهٔ ساقه بُلَند
schenken; هِدیه دادَن، بَخشیدَن
- jem. etwas schenken; چیزى را به کِسى هِدیه کَردَن، ـ هِدیه دادَن، ـ آوَردَن
- von ganzem Herzen schenken; آب از جِگَر بَخشیدَن، عَطا کَردَن و چیزی بِمَردُم دادَن
- einem geschenkten Gaul schaut man nicht ins Maul; دَندان ِ اَسب پیشکِش را نِمی شُمارَند
scheppern; تُلُق تُلُق، تُلُق و تُلوق
- wegen der Schlaglöcher scheppert das ganze Auto; بِخاطِر ِ دَست اَندازها تَمام ِ ماشین سَخت تُلُق تُلُق می کَرد
Scherbe; خورده شیشه
Schere; قِیچى
scheren; قِیچى کَردَن
- scheren (Schafschur); پَشم چینى کَردَن
Schererei;
- Scherereien verursachen; جَنگولَک بازى دَر آوَردَن، پِدَر ِ کِسی را دَر آوَردَن
- s. aus Scherereien rausziehen; خود را از مَخمَصه بیرون کِشیدَن
Scherz; شوخى
- schlechter Scherz; هَزل گوئى
- s. mit jem. einen Scherz erlauben; سَر به سَر ِ کِسی گُذاشتَن
- ich dachte, er leistet s. einen Scherz mit mir; خیال می کَردَم سَر به سَرَم می گُذارَد
- Scherz & Witz; طَنز و مُطايِبه
scherzen; شوخى کَردَن
- (negativ) scherzen; هَزل گوئى کَردَن
- er scherzt mit jem.; سَر بِسَر ِ کِسى مى گُذارَد، با کِسى شوخى مى کُنَد
Scherzo; رِنگ
scheu; سَربِزیر، کَمرو، کِناره گیر
- scheu (Tier); رَمو
- scheu blicken; با چِشمهاى ِ رَمَنده نِگاه کَردَن
- arbeitsscheu; نِفرَت از کار
Scheu; حُجب
scheuen;
- scheuen (Pferd); رَم کَردَن
- er scheut s. vor keiner Arbeit; او از هیچ کارى روگَردان نِمى شَوَد، از هیچ کاری نمى تَرسَد
- gebrannter Mensch scheut das Feuer; آدَم ِ مار گَزیده از ریسمان ِ سیاه و سِفید مى تَرسَد
scheuern; سابیدَن
- Topf mit Sand scheuern; دیگ را شِن مالى کَردَن
- jem. eine scheuern; يِکی تو سَر ِ کِسی زَدَن
Scheune; اَنبار ِغَله، کاهدان
Scheusal; هِیولا
Schicht;
- Schicht (gesellschaftl.); طَبَقه
- Schicht (geolog.); لایه
- Schicht (Früh-, Spät-);  (شیفت ( ـ ِ صُبح، ـ ِ شَب
- in 2 Schichten arbeiten; دو شیفته کار کَردَن
- einer herrschenden (polit.) Schicht von ... angehören; به نیابَت از ... مُتَعلِق بودَن
- ärmere Schichten; اَقشار ِ فَقیر
- wohlhabende Schicht; قِشر ِ مُرَفَه
- Berufsschicht; قِشر ِ شُغلى
Schichtaufnahme (vom Knochen); (تِکه بَردارى (از اُستُخوان
schichtenspezifisch;
- schichtenspezifisches Verhalten; رَفتار ِ طَبَقاتى
Schichtung; قِشربَندى
- berufliche Schichtung; قِشربَندى ِ شُغلى
Schichtwechsel; تَعویض ِ شیفت
schicken;
- jem. auf den Weg schicken; کِسى را رَوانه کَردَن، ـ راهسِپَر کَردَن
- jem. in die ... schicken, - jagen; کِسى را به ... واصِل کَردَن
- jem. etwas schicken; چیزی را حَوالهٔ کِسی کَردَن
- nach jem. schicken; دُنبال ِ کِسی فِرِستادَن
- er schickte ihn an die Arbeit; او را به سَر کارِش فِرِستاد
- er hatte das Recht, ihn nach Hause zu schicken (als Strafe); او حَق داشت گورَش را گُم کُنَد
- schick, wen du willst; بِفِرِستى بِدَست ِ هَر که مى فِرِستى
- jem. hin - und herschicken (z.B. bei der Behörde); کِسی را پاس دادَن
Schicksal; مُقَدَرات، تَقدیر، سَرنِوِشت
- vom Schicksal betrogener Mensch; آدَم ِ مَفلوک
- s. in sein Schicksal ergeben; خودرا تَسلیم ِ سَرنِوِشت کَردَن، خودرا به دَست ِ سَرنِوِشت سِپُردَن
Schicksalsgemeinschaft; هَم دوشى
schicksalshaft; سَرنِوِشت ساز
Schicksalsschläge; صَدَمات ِ مُقَدَرات
Schiebebühne; صَحنهٔ اِنتِقالى
Schiebedach; سَقف ِ کِشوئى
schieben; هُل دادَن
- etwas zur Seite schieben; چیزى را کِنار زَدَن
- auf die lange Bank schieben; دَر طاق ِ نِسیان گُذاشتَن، به دَست ِ فَراموشى سِپُردَن
- alles, was passiert ist, schiebst du Gott in die Schuhe; هَر اِتِفاقى که اَُفتاده به حِساب ِ (یا: گَردَن) خُدا مى گُذارى
Schieber; مُحتَکِر، دَریچه
- Schieber, Betrüger; قاچاقچی
Schiebetür; دَر ِ کِشوئى
Schiebewiderstand; مُقاوَمَت ِ لَغزِشى
Schieblehre; خَط کِش ِ اَندازه گیر کِشوئى
Schiedsgericht; کُمیسیون ِ داوَرى
- verbindliche Schiedsgerichtsbarkeit; داورَى ِ اِلزام آوَر
Schiedsrichter; داوَر
Schiedsrichterspruch; رأى ِ داوَر
Schiedsspruch; حَکَميَت
schief; مُوَرَب، کَج، مايِل، شیبدار، اَعوَج
- schiefe Ebene; تَوَرُب، سَطح ِ شیب دار
Schieferdach; بام ِ تَخته سَنگ پوش
Schiefergestein; پَلمهٔ سَنگ، سَنگ ِ لوح، تَخته سَنگ
schiefgehen;
- der Unterricht geht schief; آموختَن رَه به جائى نِمى بَرَد
- alles, was nur schiefgehen konnte, sagte man ihm; هَرچه بَد و بیراهه بود به او گُفتَند
- die Dinge fangen an, schief zu gehen; اوضاع بَر وَفق ِ مُراد نیست
Schieflage;
- Schieflage bekommen; پَکَر شُدَن، حالَت ِ گیجى پِیدا کَردَن
schielen; لوچ بودَن، پیچ داشتَن
- er schielte auf ...; چِشمِش به ... است
- ... brachte ihn zum Schielen; چِشمهايَش را لوچ کرد، ـ چَپ کرد
Schienbein; اُستُخوان ِ ساق
Schiene; رِیل
- Armschiene; تَختهٔ شِکَسته بَندى
schienen;
- jemandes Arm schienen; بازوى ِ فِلان را شِکَسته بَندى کَردَن
Schienenlegen; رِیل گُزارى
Schienenstrang; رِیل
schiessen;
- auf jem. schiessen;  .به کِسى شَلیک کَردَن، ـ تیر اَندازى ک
- schiess! (beim Fussball); شوت کُن
- daneben schiessen; نِشانه نَزَدَن، تیر یه سَنگ می خورَد
Schiessbude; چادُر ِ نِشانه گیرى
Schiesserei; تیراَندازى
Schiessplatz; مِیدان ِ تیر اَندازى
Schiff; کِشتى، جَهاز
- Barkasse; لِنج
- Containerschiff; کِشتی ِ کانتِینِری
- Dhau; سَنبوق
- Felucke; فَلوکه
- Floß; کَلَک
- Gondel; گوندولا
- Schilfboot (Iran-Irak); قایِق ِ زَنبیلی
- Schute; دوبه، بارج
- Segelschiff; کِشتى ِ بادبانی، جَهاز ِ بادبانی
- Stocherkahn (kleine Lasten transportieren); کَرَجی
- Tragflächenboot; قایِق ِ باله‌دار
Schifffahrt; کِشتیرانى
Schiffbruch; کِشتى شِکَستِگى
- Schiffbruch erleiden (alleg.); شِکَست خوردَن
Schiffbrüchiger; کِشتى شِکَسته، شِکَستهٔ کِشتى
Schiffsbauer; کِشتى ساز
Schiffsbug; سینهٔ کِشتى
Schiffschaukel; چَرخ  و فَلَک
Schiffsladung; بار ِ کِشتى
Schiffsschraube; پَروانهٔ کِشتى
Schiismus; تَشَيُع
Schiit; اَهل ِ تَشيُع، شیعه
Schikane; اِشکالتَراشى، شِکَنجه
schikanieren; کِسى را زَجر کَردَن، شِکَنجه ک.، ـ آزار رِساندَن، آش بَراى ِ کِسى پُختَن
- schikaniert werden; زَجر کِشیدَن
Schild;
- Verkehrsschild, Tafel; تابلو
- Schutzschild; سِپَر
Schilddrüse; غُدهٔ تیروئید
schildern; نَقش کَردَن، تَشریح ک.، توصیف ک.، شَرح دادَن
Schildkröte; لاک پُشت
- wie eine Schildkröte; لاک پُشت وَر
Schilf; نِى
Schilfdickicht; نِیزار
Schilfrohr; قَصَب
schillern; به رَنگهاى ِ قوس و قَزَح دِرَخشیدَن، سوسو زَدَن
Schimmel;
- Schimmel, Pilz; کَپَک، کَپرَک
- Schimmel, Moder; پَرمَک
- Schimmel (Pferd); کُرهٔ اَسب، اَسب ِ سِفید
schimmeln;  .کَپَک زَدَن، کَپرَک ز
Schimmer; نور ِ ضَعیف، کور سو
- ich habe keinen Schimmer; مَن از این چیزها اِطِلاعات نَدارَم، مَن اصلاً شِناختی نَدارَم
Schimpanse; شِمپانزه
Schimpf;
- mit Schimpf und Schande; با خِفَت و خوارى
schimpfen;
- auf jem. schimpfen; سَر ِ کِسى قِر زَدَن، ـ جِر زَدَن
Schimpfwort; دُشنام، کَلَمات ِ ناهَنجار، فُحش
- kräftige Schimpfworte; فُحش ِ آبدارى
- jem. mit Schimpfworten belegen; کِسى را مورِد ِ عِتاب و خِطاب قَرار دادَن
Schindel; توفال، تَختهٔ پوش شُده
- mit Schindel bedecken; توفال کوبى کَردَن
schinden; کِسى را زَجر کَردَن، شِکَنجه ک.، ـ آزار رِساندَن، آش بَراى ِ کِسى پُختَن
Schinder; جَفا کار
Schinderei; سَگ دوى، سُتوه، زَحمَت، خَرکاری
Schinken; ژامبون، شاربُن
Schippe; بیل
- er ist dem Tod von der Schippe gesprungen; خَرِش از پُل گُذَشت
schippen; بیل زَدَن
- Schnee schippen; بَرف پارو کَردَن
Schirm; چَتر
Schirmherrschaft; تَوَجُهات، حِمايَت
- unter der Schirmherrschaft; دَر ظِل ِ تَوَجُهات، تَحت ِ حِمايَت
Schirmspitze; نوک ِ چَتر
Schizophrenie; تَفرِقهٔ شُعور، تَفرِقهٔ هُويَت، بیمارى ِ رَوانى ِ چَند شَخصيَتى
Schlacht; مُقاتِله، نَبَرد، غَزوه
Schlachtbank;
- jem. zur Schlachtbank führen; کِسى را به جَلاد تَسلیم کَردَن
schlachten;  .سَلاخى کَردَن، ذِبح ک
- jem. wird geschlachtet; کِسى سَلاخى میشَوَد
Schlachter; سَلاخ
Schlachtfeld; مِیدان ِ جَنگ، عَرصهٔ جَنگ
- auf dem Schlachtfeld erscheinen; قَدَم به عَرصهٔ جَنگ گُذاشتَن
Schlachthof; مَسلَخ
Schlachtopfer; (pl.) ذَبیحه (ذبايِح)، قُربان
Schlachtreihe; صَف آرائی
- Schlachtreihe aufstellen; بَرای ِ جَنگ صَف آرائی کَردَن
Schlacke; سَرباره، جِرم
schlackern (vor Kälte); بیدبید لَرزیدَن
Schlaf; (qonaw) خُفت، خواب، نَوم، غُنَو 
- Schlaf übermannte ihn;  .چُرتِش گِرِفت، خوابِش گ
- jem. aus dem Schlaf reißen; از خواب پَراندَن، چُرت ِ کِسی را پاره کَردَن
- jem. am Schlaf hindern; خواب ِ کِسی را گِرِفتَن
- Dauerschlaf; خواب ِ مَدام
- aus dem Halbschlaf erwachen; چُرتَش پاره شُد
- Mittagsschlaf; خواب ِ قیلوله
- Winterschlaf; سَهر ِ سُباتى
Schläfe; شَقیقه، گیج گاه
schlafen; خوابیدَن، خُسبیدَن
- ich lege mich schlafen; به خواب مى رَوَم، به بَستَر ـ
- leg dich schlafen; راحَت بِگیر و بِخواب، بُرو بِخواب
- ich schlafe ein; خوابَم مى بَرَد
- ich schlafe nicht; خوابَم نِمى بَرَد، چِشمَم به هَم نِمى رِسَد
- lasst mich endlich schlafen; بِگُذارید کَپه مَرگ را بِگُذارَم
- schlaf gut!; بِراى ِ کِسى آرِزوى ِ خواب ِ خوش کَردَن، شَب بِخِیر، شَبِت ـ
- s. schlafend stellen; تَناوُم کَردَن
schlaff; نَرم و لول، سُست، شُل، شُل و وِل، بى حال و وَررَفته
- das Hemd hängt schlaff an ihm herab; پیراهَن به تَنِش زار مى زَنَد
Schlaffheit; رِخوَت، سُستى
Schlaffi; اَمرَد، شوشو
Schlaflied; لالایی
- Schlaflied singen; لالایی خواندَن
Schlaflosigkeit; بیخوابى
- an Schlaflosigkeit leiden; بی خوابی کِشیدَن
Schlafmütze; اَلدَنگ، چُرتی
schläfrig; خواب آلود
- ich wurde schläfrig; خَسته ام شُد، خوابَم گِرِفت
Schlafsack; کیسهٔ خواب
Schlafstörung; بَدخواب
- unter Schlafstörung leiden; بَدخواب شُدَن، بیدار خوابی کِشیدَن
Schlafsucht; سُبات
Schlaftablette; قُرص ِ خواب آوَر
Schlafwandeln; (noumi) ماه زَدِگى، اِنتِقال ِ نومى
Schlafwandler; خوابگَرد
Schlag;
- jem. einen Schlag versetzen; کِسى را سُقُلُمه زَدَن، ضَربه به ... زَدَن، لَطمه زَدَن، لَت کَردَن، توى ِ سَر ِ کِسى زَدَن، از پا دَر آوَردَن
